time_since_epoch_ms,sensor_time_ns,sensor_name,sensor_type,index,value
1476880377185,68800868919457,LGE Accelerometer,android.sensor.accelerometer,0,0.707275390625
1476880377185,68800868919457,LGE Accelerometer,android.sensor.accelerometer,1,-0.2935638427734375
1476880377185,68800868919457,LGE Accelerometer,android.sensor.accelerometer,2,9.694061279296875
1476880377185,68800853935326,LGE Gyroscope,android.sensor.gyroscope,0,0.020477294921875
1476880377186,68800853935326,LGE Gyroscope,android.sensor.gyroscope,1,0.0704498291015625
1476880377186,68800853935326,LGE Gyroscope,android.sensor.gyroscope,2,0.05328369140625
1476880377186,68800875663842,LGE Magnetometer,android.sensor.magnetic_field,0,1.3134002685546875
1476880377186,68800875663842,LGE Magnetometer,android.sensor.magnetic_field,1,17.142486572265625
1476880377186,68800875663842,LGE Magnetometer,android.sensor.magnetic_field,2,-43.848609924316406
1476880377186,68800888969506,LGE Accelerometer,android.sensor.accelerometer,0,0.9945831298828125
1476880377186,68800888969506,LGE Accelerometer,android.sensor.accelerometer,1,-0.28997802734375
1476880377186,68800888969506,LGE Accelerometer,android.sensor.accelerometer,2,9.938278198242188
1476880377186,68800873985375,LGE Gyroscope,android.sensor.gyroscope,0,0.08013916015625
1476880377186,68800873985375,LGE Gyroscope,android.sensor.gyroscope,1,0.09521484375
1476880377186,68800873985375,LGE Gyroscope,android.sensor.gyroscope,2,0.067138671875
1476880377186,68800895774926,LGE Magnetometer,android.sensor.magnetic_field,0,1.3134002685546875
1476880377186,68800895774926,LGE Magnetometer,android.sensor.magnetic_field,1,17.142486572265625
1476880377186,68800895774926,LGE Magnetometer,android.sensor.magnetic_field,2,-43.761253356933594
1476880377186,68800909019555,LGE Accelerometer,android.sensor.accelerometer,0,0.5887603759765625
1476880377186,68800909019555,LGE Accelerometer,android.sensor.accelerometer,1,-0.3199005126953125
1476880377186,68800909019555,LGE Accelerometer,android.sensor.accelerometer,2,9.307403564453125
1476880377186,68800894035424,LGE Gyroscope,android.sensor.gyroscope,0,0.10595703125
1476880377186,68800894035424,LGE Gyroscope,android.sensor.gyroscope,1,-0.0041351318359375
1476880377186,68800894035424,LGE Gyroscope,android.sensor.gyroscope,2,0.058868408203125
1476880377187,68800915947045,LGE Magnetometer,android.sensor.magnetic_field,0,1.4926910400390625
1476880377187,68800915947045,LGE Magnetometer,android.sensor.magnetic_field,1,16.697120666503906
1476880377187,68800915947045,LGE Magnetometer,android.sensor.magnetic_field,2,-43.848609924316406
1476880377187,68800929069604,LGE Accelerometer,android.sensor.accelerometer,0,0.5516510009765625
1476880377187,68800929069604,LGE Accelerometer,android.sensor.accelerometer,1,-0.291168212890625
1476880377187,68800929069604,LGE Accelerometer,android.sensor.accelerometer,2,9.129043579101563
1476880377187,68800914085473,LGE Gyroscope,android.sensor.gyroscope,0,-0.0045623779296875
1476880377187,68800914085473,LGE Gyroscope,android.sensor.gyroscope,1,0.0312957763671875
1476880377187,68800914085473,LGE Gyroscope,android.sensor.gyroscope,2,0.063140869140625
1476880377187,68800936058129,LGE Magnetometer,android.sensor.magnetic_field,0,1.761627197265625
1476880377188,68800936058129,LGE Magnetometer,android.sensor.magnetic_field,1,16.51897430419922
1476880377188,68800936058129,LGE Magnetometer,android.sensor.magnetic_field,2,-43.848609924316406
1476880377188,68800949119653,LGE Accelerometer,android.sensor.accelerometer,0,0.62347412109375
1476880377188,68800949119653,LGE Accelerometer,android.sensor.accelerometer,1,-0.291168212890625
1476880377188,68800949119653,LGE Accelerometer,android.sensor.accelerometer,2,9.865249633789063
1476880377188,68800934135522,LGE Gyroscope,android.sensor.gyroscope,0,-0.1118927001953125
1476880377188,68800934135522,LGE Gyroscope,android.sensor.gyroscope,1,0.108795166015625
1476880377188,68800934135522,LGE Gyroscope,android.sensor.gyroscope,2,0.02984619140625
1476880377188,68800956169213,LGE Magnetometer,android.sensor.magnetic_field,0,1.6719818115234375
1476880377188,68800956169213,LGE Magnetometer,android.sensor.magnetic_field,1,16.697120666503906
1476880377188,68800956169213,LGE Magnetometer,android.sensor.magnetic_field,2,-44.11048889160156
1476880377188,68800969169701,LGE Accelerometer,android.sensor.accelerometer,0,0.838958740234375
1476880377188,68800969169701,LGE Accelerometer,android.sensor.accelerometer,1,-0.3151092529296875
1476880377188,68800969169701,LGE Accelerometer,android.sensor.accelerometer,2,10.199249267578125
1476880377188,68800954216088,LGE Gyroscope,android.sensor.gyroscope,0,-0.076995849609375
1476880377188,68800954216088,LGE Gyroscope,android.sensor.gyroscope,1,0.2115936279296875
